,Номер поручения,Выполнено,Затрачено дней,Сумма вознаграждения,Описание,lemm,group
16,11016,да,4.0,26500,"В лесу около деревни видели монстров. Нужно уничтожить их. Осмотрите все возможные укрытия, чтобы найти монстров.","в лес около деревня видеть монстр . нужный уничтожить они . осмотрите весь возможный укрытие , чтобы найти монстр .",4
17,11017,да,4.0,11500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
18,11018,да,9.0,19500,"По дороге из деревни монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","по дорога из деревня монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
19,11019,да,10.0,7500,В городе у меня пропала сумка с документами. Нужно найти её как можно скорее.,в город у я пропасть сумка с документ . нужный найти она как можно скорый .,1
20,11020,да,6.0,15500,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
21,11021,да,5.0,13000,В лесу по дороге от пещеры заметили монстров. Нужно победить их.,в лес по дорога от пещера заметить монстр . нужный победить они .,0
22,11022,да,2.0,26000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
23,11023,да,9.0,12500,В деревне у меня потерялся рюкзак. Нужно найти его как можно скорее.,в деревня у я потеряться рюкзак . нужный найти он как можно скорый .,1
24,11024,да,3.0,18500,"В лесу недалеко от города заметили зверей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти зверей.","в лес недалеко от город заметить зверь . нужный убить они . осмотрите весь возможный укрытие , чтобы найти зверь .",4
25,11025,да,1.0,24000,В деревне у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,в деревня у я быть украсть сумка с документ . нужный вернуть она как можно скорый .,1
26,11026,да,1.0,15000,В лесу между городом и деревней видели монстров. Нужно победить их.,в лес между город и деревня видеть монстр . нужный победить они .,0
27,11027,да,9.0,25500,В городе у меня пропал рюкзак. Нужно найти его как можно скорее.,в город у я пропасть рюкзак . нужный найти он как можно скорый .,1
28,11028,да,1.0,27500,В деревне у меня была украдена сумка с документами. Нужно найти её как можно скорее.,в деревня у я быть украсть сумка с документ . нужный найти она как можно скорый .,1
29,11029,да,9.0,17500,В городе у меня пропала сумка с документами. Нужно вернуть её как можно скорее.,в город у я пропасть сумка с документ . нужный вернуть она как можно скорый .,1
30,11030,да,3.0,14500,"Недалеко от города у меня потерялась сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я потеряться сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
31,11031,да,5.0,29000,В городе у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,в город у я быть украсть драгоценность . нужный вернуть она как можно скорый .,1
32,11032,да,8.0,9000,Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее.,недалеко от город у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1
33,11033,да,4.0,21500,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
34,11034,да,6.0,13000,Недалеко от города у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,недалеко от город у я быть украсть сумка с документ . нужный вернуть она как можно скорый .,1
35,11035,да,3.0,27500,В деревне у меня пропал рюкзак. Нужно найти его как можно скорее.,в деревня у я пропасть рюкзак . нужный найти он как можно скорый .,1
36,11036,да,2.0,18500,В лесу между городом и деревней видели монстров. Нужно победить их.,в лес между город и деревня видеть монстр . нужный победить они .,0
37,11037,да,1.0,6500,"В пещере появвилось огромное каменное чудовище. Нужно уничтожить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный уничтожить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3
38,11038,да,3.0,19000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
39,11039,да,1.0,26500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
40,11040,да,7.0,12500,"По дороге из деревни монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","по дорога из деревня монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
41,11041,да,7.0,15500,В лесу между городом и деревней монстры нападают на людей. Нужно уничтожить их.,в лес между город и деревня монстр нападать на человек . нужный уничтожить они .,0
42,11042,да,5.0,5000,"В деревне монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в деревня монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
43,11043,да,1.0,9000,В лесу между городом и деревней заметили зверей. Нужно прогнать их.,в лес между город и деревня заметить зверь . нужный прогнать они .,0
44,11044,да,4.0,7500,По дороге из деревни встречаются звери. Нужно прогнать их.,по дорога из деревня встречаться зверь . нужный прогнать они .,0
45,11045,да,5.0,29000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
46,11046,да,4.0,16000,В городе у меня потерялся рюкзак. Нужно вернуть его как можно скорее.,в город у я потеряться рюкзак . нужный вернуть он как можно скорый .,1
47,11047,да,2.0,10500,Недалеко от города у меня потерялась драгоценность. Нужно найти её как можно скорее.,недалеко от город у я потеряться драгоценность . нужный найти она как можно скорый .,1
48,11048,да,10.0,21500,В городе у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в город у я пропасть рюкзак . нужный вернуть он как можно скорый .,1
49,11049,да,4.0,25000,"В пещере появвилось огромное каменное чудовище. Нужно уничтожить его. Это может потребовать времени и усилий, так как огромное каменное чудовище очень опасен.","в пещера появвиться огромный каменный чудовище . нужный уничтожить он . это мочь потребовать время и усилие , так как огромный каменный чудовище очень опасный .",3
50,11050,да,7.0,8500,"В лесу по дороге от пещеры заметили зверей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти зверей.","в лес по дорога от пещера заметить зверь . нужный убить они . осмотрите весь возможный укрытие , чтобы найти зверь .",4
51,11051,да,9.0,21500,В деревне у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,в деревня у я быть украсть сумка с документ . нужный вернуть она как можно скорый .,1
52,11052,да,7.0,6000,"В деревне у меня потерялась драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.","в деревня у я потеряться драгоценность . нужный найти она как можно скорый . проверить весь место , где она мочь быть оставить .",1
53,11053,да,9.0,12500,Недалеко от города у меня была украдена драгоценность. Нужно найти её как можно скорее.,недалеко от город у я быть украсть драгоценность . нужный найти она как можно скорый .,1
54,11054,да,9.0,21500,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
55,11055,да,1.0,11000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
56,11056,нет,,23500,По дороге из деревни у меня пропала драгоценность. Нужно вернуть её как можно скорее.,по дорога из деревня у я пропасть драгоценность . нужный вернуть она как можно скорый .,1
57,11057,да,4.0,28000,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
58,11058,да,4.0,23000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
59,11059,да,10.0,14000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
60,11060,да,5.0,23500,В городе у меня потерялась драгоценность. Нужно вернуть её как можно скорее.,в город у я потеряться драгоценность . нужный вернуть она как можно скорый .,1
61,11061,да,10.0,25500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
62,11062,да,5.0,15000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
63,11063,да,9.0,24500,В лесу около деревни заметили монстров. Нужно победить их.,в лес около деревня заметить монстр . нужный победить они .,0
64,11064,да,1.0,26500,В городе у меня пропала драгоценность. Нужно найти её как можно скорее.,в город у я пропасть драгоценность . нужный найти она как можно скорый .,1
65,11065,да,3.0,26000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
66,11066,да,2.0,27000,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
67,11067,да,1.0,29500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
68,11068,да,6.0,9000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
69,11069,да,8.0,11500,В лесу недалеко от города заметили разбойников. Нужно прогнать их.,в лес недалеко от город заметить разбойник . нужный прогнать они .,0
70,11070,да,3.0,8000,В деревне монстры похитили путников. Нужно спасти их.,в деревня монстр похитить путник . нужный спасти они .,2
71,11071,да,8.0,5500,"В лесу по дороге от пещеры были замечены разбойники. Нужно проучить их. Осмотрите все возможные укрытия, чтобы найти разбойников.","в лес по дорога от пещера быть заметить разбойник . нужный проучить они . осмотрите весь возможный укрытие , чтобы найти разбойник .",4
72,11072,да,3.0,15000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
73,11073,да,2.0,17500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
74,11074,да,10.0,18500,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
75,11075,да,9.0,14500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
76,11076,да,9.0,22000,В лесу по дороге от пещеры монстры нападают на людей. Нужно победить их.,в лес по дорога от пещера монстр нападать на человек . нужный победить они .,0
77,11077,да,8.0,24500,В лесу по дороге от пещеры монстры нападают на людей. Нужно уничтожить их.,в лес по дорога от пещера монстр нападать на человек . нужный уничтожить они .,0
78,11078,да,6.0,8500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
79,11079,да,4.0,12500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
80,11080,да,6.0,25500,В лесу по дороге от пещеры видели монстров. Нужно уничтожить их.,в лес по дорога от пещера видеть монстр . нужный уничтожить они .,0
81,11081,да,9.0,19500,Недалеко от города звери нападают на людей. Нужно убить их.,недалеко от город зверь нападать на человек . нужный убить они .,0
82,11082,да,8.0,19000,В лесу между городом и деревней встречаются звери. Нужно прогнать их.,в лес между город и деревня встречаться зверь . нужный прогнать они .,0
83,11083,да,1.0,20000,По дороге из деревни заметили монстров. Нужно победить их.,по дорога из деревня заметить монстр . нужный победить они .,0
84,11084,да,1.0,5500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
85,11085,да,4.0,17000,"По дороге из деревни монстры нападают на людей. Нужно победить их. Осмотрите все возможные укрытия, чтобы найти монстров.","по дорога из деревня монстр нападать на человек . нужный победить они . осмотрите весь возможный укрытие , чтобы найти монстр .",4
86,11086,да,10.0,24500,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","в город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
87,11087,да,9.0,12000,В лесу недалеко от города монстры нападают на людей. Нужно победить их.,в лес недалеко от город монстр нападать на человек . нужный победить они .,0
88,11088,да,7.0,13500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
89,11089,да,3.0,16500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
90,11090,да,10.0,24000,В лесу около деревни разбойники нападают на людей. Нужно проучить их.,в лес около деревня разбойник нападать на человек . нужный проучить они .,0
91,11091,да,3.0,19000,Недалеко от города монстры нападают на людей. Нужно уничтожить их.,недалеко от город монстр нападать на человек . нужный уничтожить они .,0
92,11092,да,6.0,7000,В лесу по дороге от пещеры заметили зверей. Нужно прогнать их.,в лес по дорога от пещера заметить зверь . нужный прогнать они .,0
93,11093,да,6.0,24500,В лесу между городом и деревней монстры нападают на людей. Нужно победить их.,в лес между город и деревня монстр нападать на человек . нужный победить они .,0
94,11094,да,2.0,17500,"По дороге из деревни монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","по дорога из деревня монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
95,11095,да,7.0,23500,"По дороге из деревни у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","по дорога из деревня у я пропасть драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
96,11096,да,9.0,8000,Недалеко от города у меня была украдена драгоценность. Нужно найти её как можно скорее.,недалеко от город у я быть украсть драгоценность . нужный найти она как можно скорый .,1
97,11097,да,8.0,26500,В лесу недалеко от города заметили разбойников. Нужно проучить их.,в лес недалеко от город заметить разбойник . нужный проучить они .,0
98,11098,да,6.0,5500,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
99,11099,да,8.0,28500,В городе у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,в город у я быть украсть драгоценность . нужный вернуть она как можно скорый .,1
100,11100,да,5.0,7500,"Недалеко от города заметили монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.","недалеко от город заметить монстр . нужный уничтожить они . быть осторожный , так как монстр мочь быть опасный .",3
101,11101,да,2.0,25000,В лесу недалеко от города заметили зверей. Нужно прогнать их.,в лес недалеко от город заметить зверь . нужный прогнать они .,0
102,11102,да,1.0,22500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
103,11103,да,2.0,6000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
104,11104,да,1.0,21000,В лесу около деревни разбойники нападают на людей. Нужно прогнать их.,в лес около деревня разбойник нападать на человек . нужный прогнать они .,0
105,11105,да,8.0,24500,"По дороге из деревни монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","по дорога из деревня монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
106,11106,да,9.0,10000,В городе у меня была украдена драгоценность. Нужно найти её как можно скорее.,в город у я быть украсть драгоценность . нужный найти она как можно скорый .,1
107,11107,да,5.0,8000,В деревне у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,в деревня у я быть украсть сумка с документ . нужный вернуть она как можно скорый .,1
108,11108,да,5.0,26500,В деревне монстры похитили путников. Нужно спасти их.,в деревня монстр похитить путник . нужный спасти они .,2
109,11109,да,3.0,5000,"Недалеко от города заметили монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.","недалеко от город заметить монстр . нужный уничтожить они . быть осторожный , так как монстр мочь быть опасный .",3
110,11110,да,5.0,19500,"По дороге из деревни разбойники нападают на людей. Нужно прогнать их. Будьте осторожны, так как разбойники могут быть опасными.","по дорога из деревня разбойник нападать на человек . нужный прогнать они . быть осторожный , так как разбойник мочь быть опасный .",3
111,11111,да,8.0,20000,В лесу между городом и деревней были замечены разбойники. Нужно убить их.,в лес между город и деревня быть заметить разбойник . нужный убить они .,0
112,11112,да,8.0,6000,В городе у меня потерялась сумка с документами. Нужно вернуть её как можно скорее.,в город у я потеряться сумка с документ . нужный вернуть она как можно скорый .,1
113,11113,да,9.0,12000,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2
114,11114,да,7.0,28000,В городе у меня был украден рюкзак. Нужно вернуть его как можно скорее.,в город у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1
115,11115,да,2.0,27500,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2
116,11116,да,3.0,17000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
117,11117,да,10.0,21500,Недалеко от города у меня была украдена сумка с документами. Нужно найти её как можно скорее.,недалеко от город у я быть украсть сумка с документ . нужный найти она как можно скорый .,1
118,11118,да,10.0,12500,"Недалеко от города у меня потерялась драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","недалеко от город у я потеряться драгоценность . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
119,11119,да,1.0,25500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
120,11120,да,1.0,26000,В лесу между городом и деревней были замечены разбойники. Нужно прогнать их.,в лес между город и деревня быть заметить разбойник . нужный прогнать они .,0
121,11121,да,7.0,26500,В лесу между городом и деревней монстры нападают на людей. Нужно уничтожить их.,в лес между город и деревня монстр нападать на человек . нужный уничтожить они .,0
122,11122,да,1.0,19500,"По дороге из деревни заметили монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.","по дорога из деревня заметить монстр . нужный уничтожить они . быть осторожный , так как монстр мочь быть опасный .",3
123,11123,да,6.0,12500,В деревне монстры похитили путников. Нужно спасти их.,в деревня монстр похитить путник . нужный спасти они .,2
124,11124,да,6.0,21000,В лесу по дороге от пещеры видели монстров. Нужно уничтожить их.,в лес по дорога от пещера видеть монстр . нужный уничтожить они .,0
125,11125,да,8.0,26500,В городе у меня потерялась сумка с документами. Нужно найти её как можно скорее.,в город у я потеряться сумка с документ . нужный найти она как можно скорый .,1
126,11126,да,3.0,20500,В пещере завёлся дракон. Нужно его уничтожить.,в пещера завестись дракон . нужный он уничтожить .,0
127,11127,да,4.0,12000,В лесу недалеко от города заметили разбойников. Нужно убить их.,в лес недалеко от город заметить разбойник . нужный убить они .,0
128,11128,да,8.0,26500,Недалеко от города у меня был украден рюкзак. Нужно вернуть его как можно скорее.,недалеко от город у я быть украсть рюкзак . нужный вернуть он как можно скорый .,1
129,11129,да,8.0,6500,В лесу между городом и деревней заметили зверей. Нужно убить их.,в лес между город и деревня заметить зверь . нужный убить они .,0
130,11130,да,1.0,16000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный спасти они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
131,11131,да,6.0,19000,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
132,11132,да,5.0,20000,В лесу по дороге от пещеры встречаются звери. Нужно прогнать их.,в лес по дорога от пещера встречаться зверь . нужный прогнать они .,0
133,11133,да,10.0,20500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
134,11134,нет,,27500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
135,11135,да,7.0,25500,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
136,11136,да,4.0,19500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
137,11137,да,9.0,16000,В лесу недалеко от города встречаются звери. Нужно убить их.,в лес недалеко от город встречаться зверь . нужный убить они .,0
138,11138,да,5.0,15500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
139,11139,да,8.0,5000,"В городе у меня была украдена сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.","в город у я быть украсть сумка с документ . нужный вернуть она как можно скорый . проверить весь место , где она мочь быть оставить .",1
140,11140,да,4.0,25500,В лесу по дороге от пещеры были замечены разбойники. Нужно убить их.,в лес по дорога от пещера быть заметить разбойник . нужный убить они .,0
141,11141,да,1.0,18000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
142,11142,да,4.0,11000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.","недалеко от город монстр похитить путник . нужный освободить они . осмотрите весь возможный укрытие , чтобы найти похитить .",2
143,11143,нет,,10500,"В пещере завёлся дракон. Нужно его убить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он убить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
144,11144,да,2.0,14500,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
145,11145,да,1.0,10000,Недалеко от города у меня потерялась драгоценность. Нужно найти её как можно скорее.,недалеко от город у я потеряться драгоценность . нужный найти она как можно скорый .,1
146,11146,да,5.0,28000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
147,11147,да,8.0,20000,Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее.,недалеко от город у я пропасть сумка с документ . нужный вернуть она как можно скорый .,1
148,11148,да,7.0,22000,По дороге из деревни у меня была украдена драгоценность. Нужно найти её как можно скорее.,по дорога из деревня у я быть украсть драгоценность . нужный найти она как можно скорый .,1
149,11149,да,4.0,15500,По дороге из деревни монстры похитили путников. Нужно освободить их.,по дорога из деревня монстр похитить путник . нужный освободить они .,2
150,11150,да,3.0,11500,По дороге из деревни у меня потерялась сумка с документами. Нужно найти её как можно скорее.,по дорога из деревня у я потеряться сумка с документ . нужный найти она как можно скорый .,1
151,11151,да,4.0,10500,В пещере завёлся дракон. Нужно его убить.,в пещера завестись дракон . нужный он убить .,0
152,11152,да,1.0,7000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
153,11153,да,4.0,17000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,в пещера появвиться огромный каменный чудовище . нужный убить он .,0
154,11154,да,10.0,14000,В городе у меня пропал рюкзак. Нужно вернуть его как можно скорее.,в город у я пропасть рюкзак . нужный вернуть он как можно скорый .,1
155,11155,да,4.0,13500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,в пещера появвиться огромный каменный чудовище . нужный уничтожить он .,0
156,11156,да,5.0,16500,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.","в пещера завестись дракон . нужный он уничтожить . это мочь потребовать время и усилие , так как дракон очень опасный .",3
157,11157,да,2.0,23500,В деревне у меня пропала драгоценность. Нужно найти её как можно скорее.,в деревня у я пропасть драгоценность . нужный найти она как можно скорый .,1
158,11158,да,3.0,28000,Недалеко от города заметили монстров. Нужно уничтожить их.,недалеко от город заметить монстр . нужный уничтожить они .,0
159,11159,да,3.0,7000,В лесу между городом и деревней встречаются звери. Нужно убить их.,в лес между город и деревня встречаться зверь . нужный убить они .,0
160,11160,да,3.0,7000,"В городе у меня потерялся рюкзак. Нужно найти его как можно скорее. Проверьте все места, где он мог быть оставлен.","в город у я потеряться рюкзак . нужный найти он как можно скорый . проверить весь место , где он мочь быть оставить .",1
161,11161,нет,,7500,В городе у меня потерялся рюкзак. Нужно найти его как можно скорее.,в город у я потеряться рюкзак . нужный найти он как можно скорый .,1
