,﻿Номер поручения,Заказчик,Дата поручения,Выполнено,Дата выполнения,Затрачено дней,Сумма вознаграждения,Описание,Номер поручения,group,Герой,Оценка за качество,Оценка по срокам,Оценка за вежливость
45,11090,Анна,1051-04-14 00:00:00,да,1051-05-03,10.0,24000,В лесу около деревни разбойники нападают на людей. Нужно проучить их.,11090,0,Мартин,3,4,3
46,11212,Анна,1051-04-15 00:00:00,да,1051-05-18,3.0,20500,По дороге из деревни у меня пропала драгоценность. Нужно найти её как можно скорее.,11212,1,Бендер,3,5,4
47,11324,Эмилио,1051-04-16 00:00:00,да,1051-04-19,1.0,23500,"В городе монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11324,2,Синеглазый,4,4,5
48,11303,Надя,1051-04-19 00:00:00,да,1051-05-01,5.0,9000,В пещере завёлся дракон. Нужно его уничтожить.,11303,0,Глюкоза,3,4,2
49,11145,Влад,1051-04-20 00:00:00,да,1051-04-28,1.0,10000,Недалеко от города у меня потерялась драгоценность. Нужно найти её как можно скорее.,11145,1,Бендер,4,5,3
50,11406,Аделина,1051-04-21 00:00:00,да,1051-06-14,3.0,21500,Недалеко от города заметили зверей. Нужно убить их.,11406,0,Глюкоза,3,3,4
51,11410,Егор,1051-04-22 00:00:00,да,1051-05-24,9.0,27500,"В деревне у меня была украдена драгоценность. Нужно найти её как можно скорее. Проверьте все места, где она могла быть оставлена.",11410,1,Бендер,2,4,4
52,11129,Олег,1051-04-23 00:00:00,да,1051-05-03,8.0,6500,В лесу между городом и деревней заметили зверей. Нужно убить их.,11129,0,Юлия,5,4,4
53,11183,Бьянка,1051-04-24 00:00:00,да,1051-06-05,6.0,11000,"В лесу около деревни были замечены разбойники. Нужно проучить их. Будьте осторожны, так как разбойники могут быть опасными.",11183,3,Мартин,4,4,4
54,11228,Егор,1051-04-24 00:00:00,да,1051-06-17,4.0,14000,"Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11228,1,Агата,3,4,5
55,11343,Надя,1051-04-25 00:00:00,да,1051-06-16,8.0,26000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.",11343,3,Фредерик,3,4,4
56,11266,Татьяна,1051-04-26 00:00:00,да,1051-06-20,9.0,6500,По дороге из деревни у меня был украден рюкзак. Нужно вернуть его как можно скорее.,11266,1,Мартин,3,3,5
57,11425,Мария,1051-04-27 00:00:00,да,1051-05-29,1.0,7500,По дороге из деревни были замечены разбойники. Нужно убить их.,11425,0,Пастушок,4,4,3
58,11453,Егор,1051-04-28 00:00:00,да,1051-06-18,7.0,27000,"В городе монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11453,2,Бендер,4,4,5
59,11459,Бабушка Синь,1051-04-29 00:00:00,да,1051-06-27,5.0,6500,В лесу недалеко от города заметили разбойников. Нужно убить их.,11459,0,Юлия,4,4,4
60,11291,Чарли,1051-04-30 00:00:00,да,1051-05-05,3.0,15000,По дороге из деревни у меня потерялась драгоценность. Нужно найти её как можно скорее.,11291,1,Агата,4,4,4
61,11341,Бабушка Синь,1051-05-01 00:00:00,да,1051-05-11,4.0,11000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11341,2,Леопольд,3,4,4
62,11279,Аделина,1051-05-05 00:00:00,да,1051-06-01,10.0,24500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11279,0,Глюкоза,5,4,4
63,11278,Аделина,1051-05-09 00:00:00,да,1051-07-03,4.0,29500,В деревне у меня пропала сумка с документами. Нужно вернуть её как можно скорее.,11278,1,Мартин,2,4,4
64,11423,Аделина,1051-05-09 00:00:00,да,1051-05-17,2.0,28000,По дороге из деревни у меня был украден рюкзак. Нужно найти его как можно скорее.,11423,1,Фредерик,4,4,3
65,11284,Эмилио,1051-05-13 00:00:00,да,1051-05-18,2.0,10500,"В деревне у меня был украден рюкзак. Нужно найти его как можно скорее. Проверьте все места, где он мог быть оставлен.",11284,1,Бендер,4,4,4
66,11461,Роман,1051-05-17 00:00:00,да,1051-06-11,2.0,28000,В городе у меня пропал рюкзак. Нужно найти его как можно скорее.,11461,1,Юлия,4,5,3
67,11237,Эмилио,1051-05-23 00:00:00,да,1051-07-14,2.0,23000,В лесу недалеко от города звери нападают на людей. Нужно убить их.,11237,0,Альфред,3,5,4
68,11083,Надя,1051-05-24 00:00:00,да,1051-06-14,1.0,20000,По дороге из деревни заметили монстров. Нужно победить их.,11083,0,Фредерик,5,5,5
69,11350,Олег,1051-05-25 00:00:00,да,1051-05-29,3.0,16000,В лесу по дороге от пещеры заметили монстров. Нужно победить их.,11350,0,Леопольд,3,4,4
70,11314,Максимилиан,1051-05-26 00:00:00,да,1051-06-13,8.0,13000,Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.,11314,1,Глюкоза,2,4,3
71,11332,Бабушка Синь,1051-05-27 00:00:00,да,1051-06-10,7.0,11500,В городе у меня был украден рюкзак. Нужно найти его как можно скорее.,11332,1,Пастушок,4,5,4
72,11408,Леонтия,1051-05-29 00:00:00,да,1051-06-11,5.0,28000,В пещере завёлся дракон. Нужно его убить.,11408,0,Леопольд,3,3,4
73,11348,Бьянка,1051-05-29 00:00:00,да,1051-07-17,6.0,27000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11348,0,Пастушок,4,4,5
74,11197,Бабушка Синь,1051-05-30 00:00:00,да,1051-07-06,7.0,20500,В пещере завёлся дракон. Нужно его уничтожить.,11197,0,Соня,5,3,5
75,11466,Олег,1051-06-03 00:00:00,да,1051-07-28,10.0,25500,В лесу по дороге от пещеры видели монстров. Нужно уничтожить их.,11466,0,Леопольд,5,3,3
76,11024,Эмилио,1051-06-04 00:00:00,да,1051-07-21,3.0,18500,"В лесу недалеко от города заметили зверей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти зверей.",11024,4,Фредерик,5,3,4
77,11180,Бьянка,1051-06-06 00:00:00,да,1051-07-30,10.0,5500,В деревне у меня пропал рюкзак. Нужно найти его как можно скорее.,11180,1,Юлия,4,4,4
78,11305,Олег,1051-06-10 00:00:00,да,1051-06-21,4.0,9500,По дороге из деревни разбойники нападают на людей. Нужно прогнать их.,11305,0,Агата,4,3,5
79,11263,Бьянка,1051-06-11 00:00:00,да,1051-08-10,1.0,5000,В лесу недалеко от города были замечены разбойники. Нужно убить их.,11263,0,Леопольд,4,5,4
80,11080,Чарли,1051-06-13 00:00:00,да,1051-07-23,6.0,25500,В лесу по дороге от пещеры видели монстров. Нужно уничтожить их.,11080,0,Глюкоза,5,4,3
81,11334,Эмилио,1051-06-14 00:00:00,да,1051-08-03,7.0,14000,"Недалеко от города были замечены разбойники. Нужно убить их. Будьте осторожны, так как разбойники могут быть опасными.",11334,3,Юлия,4,3,5
82,11020,Бьянка,1051-06-24 00:00:00,да,1051-07-14,6.0,15500,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11020,2,Агата,4,4,4
83,11051,Татьяна,1051-06-26 00:00:00,да,1051-07-29,9.0,21500,В деревне у меня была украдена сумка с документами. Нужно вернуть её как можно скорее.,11051,1,Агата,4,4,4
84,11118,Максимилиан,1051-07-02 00:00:00,да,1051-07-26,10.0,12500,"Недалеко от города у меня потерялась драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11118,1,Альфред,3,4,5
85,11001,Мария,1051-07-09 00:00:00,да,1051-09-02,2.0,20000,"В лесу по дороге от пещеры были замечены разбойники. Нужно убить их. Будьте осторожны, так как разбойники могут быть опасными.",11001,3,Альфред,5,5,4
86,11276,Надя,1051-07-15 00:00:00,да,1051-08-11,4.0,13500,В деревне монстры похитили путников. Нужно освободить их.,11276,2,Бенедикт,4,5,4
87,11431,Максимилиан,1051-07-15 00:00:00,да,1051-08-21,9.0,14000,"В лесу около деревни видели монстров. Нужно победить их. Будьте осторожны, так как монстры могут быть опасными.",11431,3,Юлия,3,4,4
88,11251,Иван,1051-07-16 00:00:00,да,1051-09-12,3.0,23500,"По дороге из деревни встречаются звери. Нужно убить их. Будьте осторожны, так как звери могут быть опасными.",11251,3,Бенедикт,4,4,3
89,11045,Олег,1051-07-16 00:00:00,да,1051-08-03,5.0,29000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.",11045,3,Леопольд,5,4,5
90,11027,Леонтия,1051-07-19 00:00:00,да,1051-09-08,9.0,25500,В городе у меня пропал рюкзак. Нужно найти его как можно скорее.,11027,1,Бенедикт,4,4,3
91,11204,Анна,1051-07-25 00:00:00,да,1051-09-16,5.0,5500,Недалеко от города у меня потерялась сумка с документами. Нужно найти её как можно скорее.,11204,1,Юлия,5,5,2
92,11235,Егор,1051-07-29 00:00:00,да,1051-09-09,5.0,13500,В городе у меня потерялся рюкзак. Нужно вернуть его как можно скорее.,11235,1,Синеглазый,3,4,4
93,11195,Бьянка,1051-07-31 00:00:00,да,1051-08-17,7.0,15000,В лесу между городом и деревней звери нападают на людей. Нужно прогнать их.,11195,0,Альфред,4,3,5
94,11383,Леонтия,1051-08-03 00:00:00,да,1051-08-29,2.0,6500,"В деревне монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11383,2,Синеглазый,3,4,4
95,11174,Мария,1051-08-05 00:00:00,да,1051-09-17,2.0,15000,"По дороге из деревни у меня потерялась драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11174,1,Пастушок,3,3,3
96,11277,Иван,1051-08-05 00:00:00,да,1051-09-15,10.0,5500,В пещере завёлся дракон. Нужно его убить.,11277,0,Альфред,4,3,4
97,11439,Иван,1051-08-05 00:00:00,да,1051-09-16,9.0,18000,По дороге из деревни у меня была украдена сумка с документами. Нужно найти её как можно скорее.,11439,1,Пастушок,5,4,4
98,11359,Влад,1051-08-07 00:00:00,да,1051-09-11,7.0,16000,"Недалеко от города у меня пропал рюкзак. Нужно найти его как можно скорее. Проверьте все места, где он мог быть оставлен.",11359,1,Фредерик,4,4,3
99,11289,Егор,1051-08-08 00:00:00,да,1051-08-12,1.0,14000,"Недалеко от города монстры похитили путников. Нужно освободить их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11289,2,Соня,5,4,3
100,11138,Надя,1051-08-09 00:00:00,да,1051-09-03,5.0,15500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,11138,0,Бенедикт,4,3,4
101,11030,Чарли,1051-08-10 00:00:00,да,1051-08-15,3.0,14500,"Недалеко от города у меня потерялась сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11030,1,Глюкоза,4,4,3
102,11000,Анна,1051-08-11 00:00:00,да,1051-08-21,4.0,6000,"В лесу по дороге от пещеры звери нападают на людей. Нужно убить их. Осмотрите все возможные укрытия, чтобы найти зверей.",11000,4,Мартин,4,3,4
103,11485,Олег,1051-08-13 00:00:00,да,1051-08-29,2.0,23500,В деревне у меня был украден рюкзак. Нужно вернуть его как можно скорее.,11485,1,Синеглазый,4,5,4
104,11316,Максимилиан,1051-08-14 00:00:00,да,1051-10-10,8.0,18500,"Недалеко от города у меня потерялась драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11316,1,Соня,5,3,4
105,11182,Чарли,1051-08-14 00:00:00,да,1051-09-26,5.0,13500,"В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11182,1,Синеглазый,4,4,4
106,11213,Бабушка Синь,1051-08-16 00:00:00,да,1051-10-11,8.0,15000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11213,0,Юлия,4,3,4
107,11448,Мария,1051-08-16 00:00:00,да,1051-08-30,3.0,18000,"В лесу недалеко от города монстры нападают на людей. Нужно победить их. Осмотрите все возможные укрытия, чтобы найти монстров.",11448,4,Бенедикт,3,4,3
108,11493,Анна,1051-08-17 00:00:00,да,1051-09-28,4.0,8500,В лесу около деревни заметили разбойников. Нужно прогнать их.,11493,0,Бенедикт,4,4,5
109,11089,Бабушка Синь,1051-08-17 00:00:00,да,1051-08-21,3.0,16500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,11089,0,Юлия,5,5,4
110,11227,Леонтия,1051-08-18 00:00:00,да,1051-10-02,1.0,14500,В лесу около деревни заметили зверей. Нужно убить их.,11227,0,Бендер,4,4,4
111,11062,Эмилио,1051-08-18 00:00:00,да,1051-09-11,5.0,15000,В пещере завёлся дракон. Нужно его убить.,11062,0,Юлия,4,2,4
112,11126,Роман,1051-08-21 00:00:00,да,1051-09-20,3.0,20500,В пещере завёлся дракон. Нужно его уничтожить.,11126,0,Пастушок,4,2,5
113,11022,Надя,1051-08-23 00:00:00,да,1051-08-29,2.0,26000,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11022,0,Фредерик,4,4,4
114,11344,Бьянка,1051-08-24 00:00:00,да,1051-09-13,5.0,26500,Недалеко от города у меня был украден рюкзак. Нужно найти его как можно скорее.,11344,1,Мартин,5,5,4
115,11246,Анна,1051-09-01 00:00:00,да,1051-10-16,6.0,8500,В пещере завёлся дракон. Нужно его убить.,11246,0,Мартин,4,4,4
116,11065,Бабушка Синь,1051-09-02 00:00:00,да,1051-10-18,3.0,26000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,11065,0,Бенедикт,5,5,4
117,11335,Бабушка Синь,1051-09-02 00:00:00,да,1051-10-21,9.0,14000,"В лесу между городом и деревней были замечены разбойники. Нужно прогнать их. Осмотрите все возможные укрытия, чтобы найти разбойников.",11335,4,Юлия,4,5,4
118,11115,Олег,1051-09-02 00:00:00,да,1051-09-25,2.0,27500,По дороге из деревни монстры похитили путников. Нужно освободить их.,11115,2,Соня,4,4,4
119,11202,Леонтия,1051-09-04 00:00:00,да,1051-09-08,2.0,5000,"В лесу по дороге от пещеры заметили монстров. Нужно победить их. Осмотрите все возможные укрытия, чтобы найти монстров.",11202,4,Агата,3,5,3
120,11082,Роман,1051-09-05 00:00:00,да,1051-09-21,8.0,19000,В лесу между городом и деревней встречаются звери. Нужно прогнать их.,11082,0,Пастушок,4,4,3
121,11360,Иван,1051-09-06 00:00:00,да,1051-09-09,2.0,28000,"Недалеко от города монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11360,2,Фредерик,3,3,5
122,11005,Анна,1051-09-07 00:00:00,да,1051-09-24,4.0,9000,В лесу недалеко от города заметили зверей. Нужно убить их.,11005,0,Агата,4,2,5
123,11364,Аделина,1051-09-08 00:00:00,да,1051-10-29,8.0,25000,"В лесу по дороге от пещеры звери нападают на людей. Нужно прогнать их. Будьте осторожны, так как звери могут быть опасными.",11364,3,Глюкоза,5,5,4
124,11087,Роман,1051-09-11 00:00:00,да,1051-09-23,9.0,12000,В лесу недалеко от города монстры нападают на людей. Нужно победить их.,11087,0,Агата,4,2,5
125,11099,Чарли,1051-09-11 00:00:00,да,1051-10-12,8.0,28500,В городе у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,11099,1,Леопольд,4,3,4
126,11078,Леонтия,1051-09-18 00:00:00,да,1051-11-12,6.0,8500,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,11078,0,Леопольд,2,4,3
127,11108,Егор,1051-09-22 00:00:00,да,1051-10-10,5.0,26500,В деревне монстры похитили путников. Нужно спасти их.,11108,2,Бендер,5,4,4
128,11044,Надя,1051-09-28 00:00:00,да,1051-11-26,4.0,7500,По дороге из деревни встречаются звери. Нужно прогнать их.,11044,0,Леопольд,2,3,3
129,11354,Аделина,1051-10-02 00:00:00,да,1051-11-17,6.0,28500,В городе у меня пропала драгоценность. Нужно вернуть её как можно скорее.,11354,1,Юлия,5,3,3
130,11369,Олег,1051-10-03 00:00:00,да,1051-10-25,5.0,5500,В пещере завёлся дракон. Нужно его уничтожить.,11369,0,Агата,4,4,4
131,11261,Аделина,1051-10-03 00:00:00,да,1051-10-29,7.0,17000,"Недалеко от города у меня пропала сумка с документами. Нужно вернуть её как можно скорее. Проверьте все места, где она могла быть оставлена.",11261,1,Бендер,4,4,4
132,11440,Мария,1051-10-06 00:00:00,да,1051-10-28,5.0,28500,Недалеко от города заметили разбойников. Нужно проучить их.,11440,0,Мартин,4,3,4
133,11116,Роман,1051-10-06 00:00:00,да,1051-10-27,3.0,17000,В пещере завёлся дракон. Нужно его убить.,11116,0,Фредерик,5,4,4
134,11103,Чарли,1051-10-07 00:00:00,да,1051-11-18,2.0,6000,В пещере появвилось огромное каменное чудовище. Нужно уничтожить его.,11103,0,Агата,3,5,5
135,11079,Иван,1051-10-10 00:00:00,да,1051-10-17,4.0,12500,В пещере появвилось огромное каменное чудовище. Нужно убить его.,11079,0,Глюкоза,4,5,3
136,11346,Роман,1051-10-12 00:00:00,да,1051-10-18,3.0,27000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.",11346,3,Агата,5,4,3
137,11356,Бьянка,1051-10-13 00:00:00,да,1051-12-02,9.0,9000,По дороге из деревни монстры похитили путников. Нужно освободить их.,11356,2,Леопольд,5,4,4
138,11036,Егор,1051-10-13 00:00:00,да,1051-10-16,2.0,18500,В лесу между городом и деревней видели монстров. Нужно победить их.,11036,0,Глюкоза,4,2,4
139,11122,Бабушка Синь,1051-10-16 00:00:00,да,1051-10-29,1.0,19500,"По дороге из деревни заметили монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.",11122,3,Глюкоза,3,2,4
140,11482,Иван,1051-10-23 00:00:00,да,1051-11-02,2.0,18000,"В лесу около деревни видели монстров. Нужно уничтожить их. Будьте осторожны, так как монстры могут быть опасными.",11482,3,Пастушок,4,4,3
141,11252,Олег,1051-10-25 00:00:00,да,1051-11-17,3.0,25000,"По дороге из деревни монстры похитили путников. Нужно спасти их. Осмотрите все возможные укрытия, чтобы найти похищенных.",11252,2,Глюкоза,5,5,4
142,11016,Надя,1051-10-27 00:00:00,да,1051-12-02,4.0,26500,"В лесу около деревни видели монстров. Нужно уничтожить их. Осмотрите все возможные укрытия, чтобы найти монстров.",11016,4,Бендер,5,4,5
143,11445,Аделина,1051-10-28 00:00:00,да,1051-12-20,7.0,28500,Недалеко от города у меня пропала драгоценность. Нужно вернуть её как можно скорее.,11445,1,Леопольд,5,2,3
144,11104,Влад,1051-10-29 00:00:00,да,1051-12-04,1.0,21000,В лесу около деревни разбойники нападают на людей. Нужно прогнать их.,11104,0,Бенедикт,3,3,5
145,11270,Бьянка,1051-10-29 00:00:00,да,1051-11-10,2.0,20000,"В пещере завёлся дракон. Нужно его уничтожить. Это может потребовать времени и усилий, так как дракон очень опасен.",11270,3,Соня,4,4,4
146,11223,Леонтия,1051-10-30 00:00:00,да,1051-11-02,2.0,6500,В лесу по дороге от пещеры видели монстров. Нужно победить их.,11223,0,Леопольд,4,4,4
147,11386,Чарли,1051-11-05 00:00:00,да,1051-11-15,2.0,29500,В городе у меня была украдена драгоценность. Нужно вернуть её как можно скорее.,11386,1,Фредерик,4,5,4
